,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,0.2433816048125945,0.5003349932699628,0.4655367375540413,0.4051490623430616,0.5334325604852134,0.0020394838433208,0.0674924606860666,0.0062643310829844,0.521930103452138,0.6054705820952258,0.4047444977294472
1,0.7638753218760411,0.557398827424876,0.5504112826803904,0.4947542029306143,0.4660133223697921,0.0024566499049032,0.1144534451792713,0.0320587660567324,0.5251702607536989,0.4306226669280154,0.5031327976789263
2,0.2377414008598508,0.5325816222362794,0.4629316839393004,0.259218487760263,0.5223921907022279,0.0016365558342791,0.0645639793441683,0.0027526073318863,0.6263580914406708,0.7312923185377841,0.3762788501694061
3,0.3711756643958476,0.5548219168429063,0.5135442468826824,0.3991406695076372,0.4770307628793001,0.001938087257149,0.0709045428087097,0.003862618498627,0.5439906614219974,0.6241872920841804,0.4783362420321354
4,0.4382567820315568,0.5520594027428095,0.4547079844659582,0.542677723326615,0.4696566698808447,0.0032806835023601,0.0750536532197368,0.0050330791724459,0.6004985461019288,0.6900350452746703,0.4139410611301341
5,0.3672035859066163,0.4761837798139555,0.557124634951785,0.4572780497264574,0.5679268490168691,0.0051952894912458,0.1190462550392766,0.02259916185854,0.532498066920521,0.5917324617169634,0.5794507882007903
6,0.3784025951497719,0.4958569727112143,0.4780758714182261,0.4301037363369474,0.5834585521023775,0.0086078809975764,0.092539734475411,0.0059463452227103,0.6087428473011733,0.5935847834406466,0.549482677719546
7,0.3167513836707261,0.6627438396893115,0.6688917905141916,0.4223358757100562,0.4037463427498727,0.0162351697422229,0.0772141310391398,0.0140445070574516,0.4160318267798948,0.5512765358704415,0.6859993639338889
8,0.2266968418344281,0.4863465241314849,0.4864357218430284,0.3257613801598966,0.4362668936425543,0.0013269753698202,0.0376391130343772,0.0037522510933489,0.3284967919514021,0.7043109725942065,0.3241626281129133
9,0.2462524281167106,0.4715392791758025,0.4774071554890359,0.2686069265817295,0.422732123464487,0.001341418574356,0.0374098864291608,0.0010804652360227,0.2416012546505575,0.6646648149190618,0.343740022898032
10,0.2244342176807734,0.4755801727927194,0.445915126324643,0.2426467179796382,0.4118892733199902,0.0013416089116551,0.0383725723385337,0.0010204852542149,0.2459611212582667,0.6040847628233027,0.2611689722480132
11,0.2487720860623137,0.4662718322609068,0.4417529610162053,0.2224993241592797,0.4286800812966396,0.0013650547994992,0.0466696749150727,0.0010997683613167,0.2272376863490063,0.5786247611167356,0.3394484118365157
12,0.3020090213398502,0.5099344244493922,0.5040573905296556,0.4189167093996206,0.4973639073305014,0.0015677027711443,0.0684179142911687,0.001911147627776,0.4542007761616259,0.5329173739301886,0.4238609163507952
13,0.3210258012340824,0.5283807648399674,0.4883135317522895,0.4387612197490583,0.4607653827852812,0.0029042197022908,0.0899407506192761,0.0115042145835906,0.5826045979705092,0.5495803936624345,0.5849818924293295
14,0.3377956916468247,0.565232511741057,0.4894820889906307,0.5035609818321228,0.5134994318787875,0.0023663897191615,0.1041344394745018,0.0087194922643015,0.5623970244106219,0.6541835669082655,0.4556164659206088
15,0.3144466842599918,0.4527737786337489,0.5224143847062386,0.2708930686078492,0.4557403309848319,0.001507080328224,0.0796209517339895,0.0090969863533888,0.3694836062956764,0.2610367270540334,0.4510146695442942
16,0.2436169568025526,0.4787275141178167,0.5136959369256087,0.2850275264579329,0.4281134679162428,0.0013929243360117,0.0326292454274374,0.0100847411379098,0.2548466713408131,0.5956975653181151,0.3591803016326453
17,0.2758884707008507,0.4623458265723889,0.5286987601859138,0.2996613073446297,0.4090798723436533,0.0048219507092954,0.0413959733345781,0.005243290429882,0.2744940678400777,0.6133969737515939,0.3721487177070315
18,0.3169796824002799,0.5215831375027822,0.544452065430259,0.3706895550495395,0.4603632909955219,0.0030629939329731,0.0704457321783342,0.0060770319098112,0.5312832534549782,0.5372965039270807,0.3757786851994529
19,0.2686202374154468,0.5014381899329543,0.4925667258913682,0.4250555194313766,0.5852996486296834,0.0026437480091243,0.0642035369521388,0.0105567088975857,0.557439268896414,0.6991519351514954,0.5880751069314804
20,0.4013768784159952,0.595990439566396,0.5615140410620012,0.4871677333969038,0.4669562675278891,0.013323594215428,0.1652585485876159,0.024652120118408,0.637655580080444,0.4985473442955012,0.6037072236623351
21,0.235017475946272,0.4589091958848864,0.5011877926497941,0.2092388587004825,0.4250293851820824,0.001471723894188,0.032466774937426,0.0018517392981256,0.2615543272157933,0.6452889384022656,0.2816104982019501
22,0.2953902984244534,0.5696108967850659,0.5483992380146193,0.3679920072575705,0.4720266578950735,0.0048361048828544,0.0784317314365665,0.0092526998371729,0.503473917244805,0.5032168126600918,0.5759822091454025
23,0.3525488554493659,0.5303605493345802,0.4941225647781554,0.4960004926088802,0.5018306000977482,0.002016041465778,0.1044082608959512,0.0093691904647933,0.5991144320496443,0.5932719141664177,0.592983875634517
24,0.7549978763345077,0.5245353935093896,0.5160004023264615,0.5650327876363134,0.4605741687519183,0.0024839167522469,0.1032073795319531,0.0143456049034446,0.528108823900383,0.4815274106011744,0.5155902007321476
25,0.6158311639111966,0.5826945593809714,0.5700515926693179,0.4110493680849666,0.4951332654138191,0.0028245997900302,0.1246739041891304,0.0214229908623259,0.5352529532141549,0.6046999332780134,0.6182023957713799
26,0.2228625191126822,0.4944453017871167,0.4673189940167093,0.1854404083917747,0.4111782993130004,0.0013355443814479,0.0370731065487303,0.0013416723393842,0.2695080143823974,0.7283112562933977,0.2698968518640165
27,0.2467676358128602,0.4682636423586925,0.5238506245863074,0.2866076577601944,0.3811377094125349,0.0016834940753282,0.0331446455880595,0.0028734853977194,0.2763918918901313,0.5883076258710205,0.2851134196221334
28,0.3208825394340579,0.548828993072411,0.5166230395573854,0.4635228992202137,0.5390174926247381,0.0043114010443514,0.101839770086479,0.0073528330819998,0.5457542952556312,0.6606410254616837,0.5833765734985741
29,0.2458346320416771,0.4686376209580743,0.4642488996517217,0.1871650496688696,0.4178073722521468,0.0013730602992596,0.0343927860131798,0.0012009222272274,0.2474634475854727,0.5830811434528386,0.287434948743192
30,0.2942564250590427,0.518696201794407,0.4850863284304538,0.413026625316532,0.4847829404081408,0.0014874729250398,0.0574444431243516,0.0019380266906385,0.4810859483881468,0.594708098607917,0.3874510087650196
31,0.2453562794559061,0.4659445589512503,0.4505739162370089,0.220329622321765,0.3790302549838724,0.0025351815255192,0.0380557765700445,0.0012103745014852,0.2380266142446465,0.5623376309598143,0.2996224211233551
32,0.3658769103659107,0.5220643485343512,0.4895630958674654,0.4185354545877088,0.5345392282312466,0.0041428430394329,0.0760355358183791,0.0052787150697389,0.6579994464980008,0.6106541829494243,0.5444708320598771
33,0.3607102180903239,0.4817450239571998,0.4906341928941573,0.3899000677290852,0.5173246976254695,0.0017492194910498,0.0611891649335271,0.0075326689879128,0.4282122432107676,0.4822467986483641,0.4651739576215714
34,0.2908268847203175,0.477604430339368,0.5161440672798924,0.3868535261222797,0.5003080984632843,0.0016896580171568,0.0595626814389095,0.0044925189383132,0.456417495116747,0.5999905431409732,0.487311047753518
35,0.3756873137805625,0.5911861735620643,0.5800066772588569,0.4760161471920126,0.5179807368921118,0.0113747013742792,0.1190050271428585,0.0055005610542785,0.5133864422142441,0.5509223023335175,0.5734878131710195
36,0.3673398153359873,0.4927904065951684,0.4452633900759969,0.299336735084893,0.5266750637056006,0.0015914130042007,0.081509640607854,0.0040112790400954,0.5242871767298158,0.5778172097612535,0.4998786446698616
37,0.2995134260757676,0.5843509517774497,0.5118942885964504,0.2285559253727042,0.4202884588314182,0.001691479144445,0.0614276624292881,0.0034900050226878,0.3744072134861796,0.5177180303709954,0.4521599570873994
38,0.452108968899601,0.5810959336880364,0.5028886223094011,0.4540160014938099,0.5565925076495893,0.0076544914531731,0.1182418200734228,0.0134968570973995,0.5669630144874226,0.4639596760418071,0.6090094817480608
39,0.2533865487880952,0.4803980033147493,0.4760135662199213,0.3636651621573408,0.4850765906068945,0.0015882930230471,0.072914745313427,0.003670989219213,0.4749942193729106,0.590878382513,0.331811527633652
40,0.2628433000995717,0.4624530614247206,0.5283304686679918,0.3154366265045781,0.4185163885607854,0.001414860262414,0.0441069157941381,0.0042997679894824,0.301146386913776,0.582697510181468,0.3641710867318469
41,0.260430337396431,0.512014247005466,0.5522829598121609,0.4925134670935663,0.4804522396065643,0.0052798025957929,0.1052345225391404,0.0131713678564391,0.5529465470801541,0.5317747869902828,0.5539877541295739
42,0.3899465700720402,0.4402630895016724,0.5188454521256448,0.401230338928889,0.5797317836167595,0.0126081440671811,0.1324563988317837,0.0093551820047993,0.4940964693311897,0.4246954965550403,0.6229081489028944
43,0.2464730086803179,0.5222619987463198,0.4901191204012677,0.3337385904488966,0.4662189530132906,0.001560179719575,0.1248641382806186,0.0018769595686542,0.6692282517945547,0.6006886035387085,0.3463926786916227
44,0.3612162173981806,0.5420252150629568,0.5408583039930093,0.4711708788693737,0.499003235499412,0.0034398959635419,0.083388547433126,0.0059740962310226,0.5472117940214186,0.5546461862053559,0.5852115537019466
45,0.2352697344757942,0.5710700606088801,0.5728695302756296,0.4151601775989999,0.4460797591952387,0.0015603702465836,0.0592930582144447,0.0035314042925522,0.6030425511267522,0.5919726157573797,0.4276619694846933
46,0.4866826224564963,0.5053289861429172,0.5165411162815885,0.3582186799804915,0.5746607973654464,0.0040981356222243,0.1182790035656136,0.0173654902618554,0.5722732913776141,0.6363219009464465,0.5940705183080379
47,0.3268834523913541,0.5189059773084773,0.5150059732395725,0.3612833986067669,0.4756922128732233,0.0019948596626994,0.0529598320449745,0.002011008670608,0.4881795331581131,0.6796235923626539,0.4145787652038391
48,0.3878531208085941,0.4880861105909302,0.5209060790668529,0.4150014964974126,0.5127580603091134,0.0046148137730827,0.0862697363019448,0.0157881880625031,0.601126222666458,0.4835494728901076,0.5017280650975838
49,0.3360660390213283,0.5206798674638076,0.5222528478771946,0.3814000802751784,0.5031218160012801,0.0015476892002772,0.052801313701376,0.0089272624941379,0.4935804682396326,0.6391901630451003,0.4857226833403988
50,0.2548011680568151,0.4942345000300002,0.4979252278359197,0.3099328678126298,0.4480333397588675,0.0016500290498916,0.0412638185228056,0.0010679624952704,0.2880046791808519,0.5979407108304295,0.4518080592784731
51,0.4193313007645944,0.523268106597978,0.4714566474271986,0.4636746082074536,0.5288818521931774,0.0046102413171873,0.1611870317725294,0.015876930667326,0.581861814957503,0.5385083975663346,0.6818772908628631
52,0.352223830487712,0.4744743317248409,0.5675899377132926,0.4120858090867009,0.4575867121575354,0.002434906216722,0.0996544259685203,0.0079819285994921,0.5379990198836926,0.7008172890680705,0.4947717124561117
53,0.3435488150245628,0.517222908939455,0.5578999776142595,0.4512449623274565,0.5268883333516612,0.035629168815276,0.1289288942838488,0.0088702613460532,0.5863663715848819,0.6947455074324679,0.5643154421933322
54,0.3402812912797319,0.4614922245204452,0.4466628032755276,0.2385794171009692,0.4924114774449251,0.0055666095617776,0.0474419554259753,0.011170212535821,0.4380091829167866,0.6316494849772266,0.4901219268141184
55,0.3598939427289973,0.5841798282492061,0.5401631966316338,0.3294881402819209,0.5860995087270658,0.0072964580043637,0.0772532167154476,0.0122778046466674,0.5235773132037774,0.5987865764280925,0.6086502452581917
56,0.2411262711176271,0.5149235243264653,0.5502474889993565,0.3776840991031135,0.4642314617342294,0.0022172101808281,0.0484734764720687,0.0051966007933519,0.4072814776053249,0.6531000854505246,0.4618781432343171
57,0.2321358150965393,0.4937330304387926,0.4845028072769935,0.1827894649188229,0.407232122950393,0.0014515052031342,0.0382292267773284,0.0021592249166402,0.259661133635089,0.5873202781767844,0.3017146984032781
58,0.7339400316006264,0.5150119645340432,0.5444403296121959,0.4551171122507413,0.5351461419445128,0.0014649623493022,0.1153216461144644,0.0175965983432556,0.5253308166453943,0.5984594228474962,0.6423117232029931
59,0.2462531816741929,0.487404006169753,0.4412226156234389,0.3990400394577956,0.4871633403111318,0.0019097675160651,0.0556248917001547,0.0035021844292712,0.5335850942131756,0.5628275830973215,0.3891544233922723
60,0.3350371274189714,0.4943976990252984,0.5277016378549984,0.4239040066319463,0.5899503615830467,0.0078481870040958,0.0874126014658309,0.0146497980142557,0.6717487634314747,0.6432777915055389,0.5565139646714682
61,0.4261285603944885,0.5488905186891244,0.5305920199149012,0.342082834746194,0.5454416356631179,0.0016347469030508,0.1299244985534725,0.0068832513476726,0.6640131858207011,0.494838011231683,0.464577736300328
62,0.2437904056427087,0.5535303220992049,0.4714795254000373,0.4105573059147175,0.4780798310063415,0.0077999205234811,0.0454785512328161,0.0032195022003097,0.389236749826545,0.4422512938765565,0.4472808365682619
63,0.3651690602368141,0.5183038849192311,0.5272620811965593,0.4402504460651699,0.5710002657523727,0.0019626981710576,0.0605913535681903,0.009768615302175,0.5826734351082019,0.6044068606992478,0.5723300898937691
64,0.4860905954206827,0.4975342705207671,0.5468449184999256,0.6388238707845775,0.5847710418500491,0.0028520952712208,0.1130736387286917,0.0073331780120002,0.630670658947743,0.4760550381797888,0.5907609530631853
65,0.358836053731279,0.6011549885630595,0.6031737380726176,0.4454838270466018,0.5250162370216771,0.0029387209471542,0.0909665462042077,0.01448086205221,0.5509855294341693,0.3932483767951426,0.6143593166456325
66,0.2184292284592977,0.4797584945828403,0.4698896118466541,0.2784282965562396,0.4159113754915282,0.0015016905975698,0.0380948462095976,0.0010431824877644,0.2237504590888005,0.5661867195264209,0.3573431901921367
67,0.2892924330995663,0.4696999533549789,0.4850357362273683,0.3376762699633606,0.5379043183233602,0.0061164144387651,0.062553209288875,0.0023542180497568,0.4717567633504682,0.5743734733947615,0.5072544582689891
68,0.7345291847791924,0.5253019937079095,0.5281545144335017,0.4905425648645591,0.4512706828789287,0.0081933137957455,0.1369063756308463,0.0372529843278329,0.5248553705291843,0.4510047793207031,0.5483771476591669
69,0.2523207632974432,0.5003931422100344,0.4627863339197303,0.3570993375419203,0.505518045933717,0.0015612300620414,0.0486048550132989,0.0034828718952613,0.5906064455624143,0.5526303674469624,0.4840302642856485
70,0.4590738140720485,0.5497969450251698,0.5275725194429425,0.3243107869840684,0.512374442456823,0.0178735406058237,0.1010134765301245,0.0074781387777786,0.5474438290470063,0.4229297182813061,0.5183431907130217
71,0.3014467562789261,0.4693944906316319,0.4316582419014793,0.5164546083157217,0.5754497932254521,0.0059480624774241,0.1252323106215228,0.0020821962728511,0.6811527034446088,0.5184210432546318,0.382244512852159
72,0.4140270662742643,0.5244988437318425,0.5093223948596353,0.4026846254896792,0.5581255031120932,0.0026613091220497,0.1154686808522322,0.0069828210706507,0.6486706439314585,0.6685056726552836,0.6080385938110775
73,0.2682982577424125,0.5298892587286048,0.4632092890582586,0.3299362310203635,0.3937129427028722,0.001950858353115,0.0448486031658413,0.0023004358109319,0.4294788004372785,0.6272416866642713,0.38393387128898
74,0.2834554016301097,0.5242422192157414,0.4992440051212716,0.3472065365488966,0.4188206629234765,0.0017125883838567,0.039545028709865,0.0013495355369966,0.4884146597042587,0.5595857221155482,0.31597075057617
75,0.2138860743590027,0.4749047068968216,0.4460566836430599,0.2297899425954336,0.4278523688655789,0.0013209433060158,0.037930436439468,0.0013658789377825,0.2504210568864433,0.7389134435111737,0.2776578284034353
76,0.3948162986078271,0.4807003060070062,0.5167654950359789,0.3864962648782951,0.534732594660081,0.0073725191871194,0.1132224876704641,0.0113379059158518,0.5439869954033827,0.5936026302832869,0.6241013610516498
77,0.2433852880350765,0.5381086736844933,0.5129105989915956,0.4609874305979529,0.5142851317499517,0.0031593674596771,0.0816892912602208,0.0024282810124984,0.5901413459680417,0.6389987745013689,0.3912444446422672
78,0.3461758965608764,0.4215423263048993,0.4038209525865809,0.395615262868441,0.4631176574030194,0.0056978086456992,0.058567963559414,0.0045856510239398,0.4407316995415828,0.510048498217032,0.4470794631809326
79,0.2675854136478656,0.4546026265456966,0.4849494885071964,0.5279841268473244,0.5325190613233819,0.0027010462557599,0.0728620023833538,0.0020340977507467,0.6409052697494136,0.6200776764899699,0.4065649336085625
80,0.496792191372969,0.5352641060839894,0.6173761877971153,0.51989614970893,0.4380211945377829,0.0037715009178319,0.1138089067187323,0.0246753141451037,0.4988037370335599,0.4077256249631433,0.5803459612161997
81,0.2801651887050132,0.5382192904215148,0.477852022082806,0.3428611984407625,0.4489633815683126,0.0019870878600451,0.052468939919069,0.0043900528496425,0.3565359197783596,0.6674613189481973,0.3977409505401146
82,0.3352083728557056,0.500704337334931,0.5273681444884266,0.458478095828248,0.5662047387708246,0.0086001762034497,0.0753937502079861,0.0033899932566458,0.5294870713662505,0.5246393058620883,0.5907185521991332
83,0.4591845719084881,0.6681745094494209,0.4508907070406552,0.6002908245938361,0.4667174527037497,0.023419583808555,0.2266676696419883,0.0481399753057905,0.4681143338142661,0.4449457818956231,0.5924549049868649
84,0.3796539769766252,0.5563489487740154,0.5076308030496157,0.5020329950259472,0.5722596461138221,0.0040573543233679,0.1499280211747032,0.0051587302099354,0.6405394680950461,0.6640710986500814,0.4877825923516796
85,0.2678532411098622,0.4768775346873536,0.4817139843416393,0.4364725670032149,0.4841033623108996,0.0068265805567591,0.0469692307353106,0.0059728462205826,0.471341723082648,0.7572281385232785,0.516547473856145
86,0.3871737873656388,0.4755102018117346,0.4925014775199878,0.388474647787226,0.5012635196891476,0.002225716075714,0.0912034232897503,0.0054375695083017,0.6253870344503041,0.7586874232668506,0.3739238897501144
87,0.2985591790448708,0.5261308236895342,0.4577122242411865,0.3758494754386853,0.505168745533822,0.0017310712197977,0.0632881989280159,0.0028564835032966,0.5908613724586457,0.5816352688974845,0.3920495520940222
88,0.3804769121387307,0.5446293010372636,0.5358581409734512,0.4052463200530228,0.5014187195439633,0.0035257830954275,0.0877858604553568,0.0142522009603226,0.5804091844797918,0.6749180119934883,0.5929545095911548
89,0.3716712978370884,0.4906247823353239,0.5035355886637127,0.4910807696803966,0.439641260128369,0.0101938870847575,0.1093861524267275,0.0120562520759967,0.4988802574267514,0.4069755294357857,0.4550135949040542
90,0.2431350124528509,0.4540796804821909,0.4618229451329885,0.4425615747580794,0.4545811442373962,0.0036138060726846,0.050013030613989,0.0023282329007129,0.4987855311400809,0.6431008436355466,0.3171553988753424
91,0.3873891839404325,0.4349480512275665,0.4987659729424689,0.3001952578137264,0.5284655915880747,0.0032929861331443,0.069425868025073,0.0045435088596914,0.5766186321947744,0.6239125771014272,0.3280462424982913
92,0.4556659090045151,0.7227791831692449,0.612134858402405,0.5075195956912399,0.3796957029563372,0.0044576615598666,0.0722925502178421,0.0154298149703392,0.410734307686911,0.2496084220435128,0.4500298235669888
93,0.3542693879542762,0.563630406421102,0.5032954460671114,0.4301060638430963,0.4335074838460608,0.003696318253179,0.0801348059101525,0.0068087859270499,0.5299840200904828,0.3044069679923251,0.4985730535617827
94,0.311235752458137,0.5685124314157679,0.4978195197689739,0.4671246798383494,0.4813703520364777,0.0024245153030224,0.0793495878379915,0.0098174951619601,0.5716451317452784,0.6570606431951929,0.5021772955729558
95,0.2745827279280258,0.5642721968969333,0.4714417077815397,0.3765499599533289,0.5354514144152314,0.0020847773787363,0.0703519536575371,0.0060410319566219,0.6600546436840492,0.6915752095124834,0.4177515692779538
96,0.3774666924687898,0.4867404936008928,0.4741905781575872,0.4307093169428312,0.5175199255518959,0.0020268785690854,0.0934117853539126,0.0033969613105358,0.575833856954158,0.5146159823281702,0.5392825003012098
97,0.3478683613449748,0.529636226228969,0.5742298920738097,0.3776065752709134,0.5334493501674178,0.0102806229923396,0.0516795365711007,0.003678886089314,0.4283011117380405,0.5020177853928981,0.4653697054350798
98,0.4297723515667639,0.5042099708697421,0.511995575962381,0.3523317674921459,0.5357299878912536,0.0084118038676081,0.1036553763131607,0.0123066623469223,0.5671747428127009,0.4938652460599448,0.6113284123004327
